STT,Nội dung,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Phương án F,Phương án G,Phương án H,Phương án I,Phương án J,Đáp án,Tags
281,"Khi sử dụng phương pháp chấm điểm để xây dựng tiêu chuẩn đánh giá về kỹ thuật, mức điểm yêu cầu tối thiểu về kỹ thuật được quy định là bao nhiêu?",Không thấp hơn 60% tổng số điểm kỹ thuật,Không thấp hơn 70% tổng số điểm kỹ thuật,Không thấp hơn 80% tổng số điểm kỹ thuật,Không thấp hơn 90% tổng số điểm kỹ thuật,,,,,,,B,P3
282,"Đối với gói thầu mua sắm hàng hóa, xây lắp, phi tư vấn, hỗn hợp, phương pháp giá đánh giá được áp dụng cho các hình thức lựa chọn nhà thầu nào?",Chỉ áp dụng với đấu thầu rộng rãi,Chỉ định thầu và mua sắm trực tiếp,"Đấu thầu rộng rãi, đấu thầu hạn chế, chào hàng cạnh tranh",Tất cả hình thức lựa chọn nhà thầu,,,,,,,C,P3
283,Điều kiện nào sau đây là bắt buộc đối với nhà thầu xây lắp nhưng không được đề cập trong điều kiện xét duyệt trúng thầu đối với nhà thầu tư vấn là tổ chức?,Có hồ sơ dự thầu hợp lệ,Có giá đề nghị trúng thầu không vượt giá gói thầu,Có đề xuất kỹ thuật đáp ứng yêu cầu,Có giá trị phần sai lệch thiếu không quá 10% giá dự thầu,,,,,,,D,P3
284,"Khi sửa đổi hợp đồng làm thay đổi thời gian thực hiện nhưng không vượt thời gian thực hiện dự án, ai có quyền quyết định sửa đổi hợp đồng?",Người có thẩm quyền,Chủ đầu tư,Cơ quan quản lý cấp trên của chủ đầu tư,Bên mời thầu,,,,,,,B,P3
285,Thời gian có hiệu lực của bảo đảm thực hiện hợp đồng được tính từ khi nào đến khi nào?,Từ ngày ký hợp đồng đến ngày thanh toán cuối cùng,Từ ngày hợp đồng có hiệu lực đến ngày các bên hoàn thành nghĩa vụ hoặc chuyển sang thực hiện nghĩa vụ bảo hành đối với trường hợp có quy định về bảo hành,Từ ngày nộp hồ sơ dự thầu đến ngày hoàn thành nghĩa vụ theo hợp đồng,Từ ngày thông báo trúng thầu đến ngày hết thời hạn bảo hành,,,,,,,B,P3
286,Hợp đồng theo thời gian có thể áp dụng trong trường hợp nào?,Trong tình trạng khẩn cấp,"Sửa chữa, bảo trì công trình, máy móc, thiết bị",Dịch vụ tư vấn khi khó xác định được phạm vi và thời gian thực hiện dịch vụ,Tất cả phương án trên đều đúng,,,,,,,D,P3
287,Giá trị bảo đảm thực hiện hợp đồng được xác định dựa trên cơ sở nào?,Giá gói thầu,Giá hợp đồng,Giá dự thầu của nhà thầu,Tổng mức đầu tư của dự án,,,,,,,B,P3
288,Trường hợp nào sau đây chủ đầu tư được tự quyết định sửa đổi hợp đồng mà không cần người có thẩm quyền cho phép?,Sửa đổi hợp đồng làm vượt giá gói thầu đã duyệt và vượt tổng mức đầu tư của dự án,Sửa đổi hợp đồng làm thay đổi thời gian thực hiện hợp đồng nhưng không làm vượt thời gian thực hiện dự án hoặc vượt giá gói thầu (bao gồm dự phòng) được duyệt nhưng không làm vượt tổng mức đầu tư,Sửa đổi hợp đồng làm thay đổi thời gian thực hiện hợp đồng và vượt thời gian thực hiện dự án,Sửa đổi hợp đồng làm thay đổi thiết kế cơ sở dẫn đến phải điều chỉnh chủ trương đầu tư,,,,,,,B,P3
289,Các bên không phải ký kết văn bản sửa đổi hợp đồng khi thay đổi giá hợp đồng nếu đáp ứng đủ điều kiện nào sau đây?,"Không vượt giá gói thầu, nhưng có thể vượt thời gian thực hiện gói thầu ghi trong hợp đồng","Không vượt giá gói thầu, không vượt thời gian thực hiện gói thầu ghi trong hợp đồng và phương pháp, công thức, hạng mục và các nội dung cần thiết để điều chỉnh đã quy định trong hợp đồng",Không vượt thời gian thực hiện gói thầu ghi trong hợp đồng nhưng có thể vượt giá gói thầu,Khi thay đổi thời gian thực hiện hợp đồng nhưng không làm vượt thời gian thực hiện dự án hoặc vượt giá gói thầu (bao gồm dự phòng) được duyệt nhưng không làm vượt tổng mức đầu tư,,,,,,,B,P3
290,Đâu là điểm khác biệt chính giữa hợp đồng theo đơn giá cố định và hợp đồng theo đơn giá điều chỉnh?,"Hợp đồng theo đơn giá cố định áp dụng cho gói thầu có thời gian thực hiện dài, hợp đồng theo đơn giá điều chỉnh áp dụng cho gói thầu có thời gian thực hiện ngắn","Đơn giá trong hợp đồng đơn giá cố định không thay đổi, còn đơn giá trong hợp đồng đơn giá điều chỉnh có thể thay đổi","Hợp đồng theo đơn giá cố định không có chi phí dự phòng, còn hợp đồng theo đơn giá điều chỉnh có chi phí dự phòng","Hợp đồng theo đơn giá cố định chỉ áp dụng cho gói thầu dịch vụ tư vấn, hợp đồng theo đơn giá điều chỉnh áp dụng cho gói thầu xây lắp",,,,,,,B,P3
291,"So sánh hai tình huống sửa đổi hợp đồng: (1) Vượt giá gói thầu 10% nhưng không vượt tổng mức đầu tư; (2) Vượt giá gói thầu 2% và làm tổng mức đầu tư tăng 1%, thẩm quyền phê duyệt có gì khác nhau?",Cả 2 tình huống đều do chủ đầu tư quyết định,"Tình huống (1) do chủ đầu tư quyết định, tình huống (2) phải trình người có thẩm quyền xem xét, quyết định",Cả 2 tình huống đều do người có thẩm quyền quyết định,"Tình huống (1) phải trình người có thẩm quyền cho phép, tình huống (2) do Chủ tịch Uỷ ban nhân dân tỉnh quyết định",,,,,,,B,P3
292,"Loại hợp đồng nào được áp dụng khi tại thời điểm lựa chọn nhà thầu chưa đủ cơ sở xác định phạm vi công việc, nhu cầu cần thiết về các yếu tố, chi phí đầu vào để thực hiện các công việc dự kiến của hợp đồng?",Hợp đồng trọn gói,Hợp đồng theo chi phí cộng phí,Hợp đồng theo đơn giá cố định,Hợp đồng theo kết quả đầu ra,,,,,,,B,P3
293,"Gói thầu xây lắp A được phê duyệt KHLCNT với thời gian thực hiện gói thầu là 120 ngày. Trong quá trình thực hiện Hợp đồng, do có phát sinh dẫn tới thời gian thực hiện gói thầu bị kéo dài thành 180 ngày. Trong trường hợp này, chủ đầu tư xử lý như thế nào?",Báo cáo người có thẩm quyền trước khi điều chỉnh thời gian thực hiện gói thầu trong kế hoạch lựa chọn nhà thầu đã được phê duyệt,Chủ đầu tư thực hiện điều chỉnh thời gian thực hiện gói thầu trong kế hoạch lựa chọn nhà thầu đã được phê duyệt mà không cần báo cáo người có thẩm quyền,Chủ đầu tư không cần điều chỉnh kế hoạch lựa chọn nhà thầu,Các phương án trên đều sai,,,,,,,C,P3
294,"Gói thầu áp dụng hình thức chào giá trực tuyến rút gọn, việc phê duyệt kết quả lựa chọn nhà thầu thực hiện như thế nào?",Trên cơ sở đề nghị của tổ chuyên gia,Trên cơ sở đề nghị của tổ thẩm định,Trên cơ sở chấp thuận được trao hợp đồng của nhà thầu,Phương án A và B đều đúng,,,,,,,C,P3
295,Việc xét duyệt trúng thầu đối với gói thầu áp dụng hình thức chào giá trực tuyến theo quy trình rút gọn thực hiện như thế nào?,Căn cứ vào giá dự thầu trong đơn dự thầu của nhà thầu,Căn cứ vào giá gói thầu trong kế hoạch lựa chọn nhà thầu được phê duyệt,Căn cứ vào giá dự thầu tại thời điểm kết thúc chào giá trực tuyến của nhà thầu xếp thứ nhất,Các phương án trên đều sai,,,,,,,C,P3
296,Nhận định nào sau đây là đúng?,"Việc áp dụng mua sắm trực tuyến không cần phê duyệt trong kế hoạch lựa chọn nhà thầu và được áp dụng đối với hàng hóa, dịch vụ tư vấn của gói thầu thuộc dự toán mua sắm có giá gói thầu không quá 500 triệu đồng","Việc áp dụng mua sắm trực tuyến phải được phê duyệt trong kế hoạch lựa chọn nhà thầu và được áp dụng đối với gói thầu mua sắm hàng hóa, gói thầu dịch vụ tư vấn thuộc dự toán mua sắm có giá gói thầu không quá 500 triệu đồng","Mua sắm trực tuyến phải được phê duyệt trong kế hoạch lựa chọn nhà thầu và được áp dụng đối với gói thầu mua sắm hàng hóa, gói thầu dịch vụ tư vấn thuộc dự toán có giá gói thầu không quá 01 tỷ đồng",Các phương án trên đều sai,,,,,,,B,P3
297,Trường hợp gói thầu có giá gói thầu dưới 500 triệu đồng đối với dự toán mua sắm thì chủ đầu tư được quyết định cho phép nhà thầu nào sau đây được tham dự thầu?,"Nhà thầu có từ 50% lao động trở lên là người khuyết tật, thương binh, dân tộc thiểu số có hợp đồng lao động với thời gian thực hiện hợp đồng từ 03 tháng trở lên và đến thời điểm đóng thầu hợp đồng vẫn còn hiệu lực","Nhà thầu có từ 25% lao động trở lên là người khuyết tật, thương binh, dân tộc thiểu số có hợp đồng lao động với thời gian thực hiện hợp đồng từ 03 tháng trở lên và đến thời điểm đóng thầu hợp đồng vẫn còn hiệu lực","Nhà thầu có từ 50% lao động trở lên là người khuyết tật, thương binh, dân tộc thiểu số có hợp đồng lao động với thời gian thực hiện hợp đồng dưới 03 tháng và đến thời điểm đóng thầu hợp đồng vẫn còn hiệu lực","Nhà thầu có từ 25% lao động trở lên là người khuyết tật, thương binh, dân tộc thiểu số có hợp đồng lao động với thời gian thực hiện hợp đồng dưới 03 tháng và đến thời điểm đóng thầu hợp đồng vẫn còn hiệu lực",,,,,,,A,P3
298,Trường hợp nào sau đây nhà thầu bị coi là không đáp ứng tư cách hợp lệ khi tham dự thầu theo quy định tại khoản 1 Điều 5 của Luật Đấu thầu?,Nhà thầu A sử dụng tài khoản tham gia Hệ thống của chi nhánh B để tham dự thầu,Nhà thầu A sử dụng tài khoản tham gia Hệ thống của chính đơn vị mình để tham dự thầu,Nhà thầu A sử dụng tài khoản tham gia Hệ thống của công ty con hạch toán phụ thuộc C để tham dự thầu,Đáp án A và C là đúng,,,,,,,D,P3
299,"E-HSMT gói thầu mua sắm hàng hóa có yêu cầu cung cấp hàng mẫu, trong trường hợp này hàng mẫu được nhà thầu gửi đến chủ đầu tư theo cách thức nào sau đây là phù hợp?",Nhà thầu có thể nộp bổ sung hàng mẫu trong thời hạn 05 ngày làm việc sau thời điểm đóng thầu,Nhà thầu phải nộp hàng mẫu ngay sau khi nộp thành công E-HSDT trên Hệ thống mạng đấu thầu quốc gia,Nhà thầu nộp hàng mẫu trong thời hạn 05 ngày sau khi nộp thành công E-HSDT trên Hệ thống mạng đấu thầu quốc gia,Các phương án trên đều sai.,,,,,,,A,P3
300,"Đối với đấu thầu không qua mạng, biên bản mở thầu bắt buộc phải có chữ ký của các chủ thể nào sau đây?","Chủ đầu tư, tổ chuyên gia và các nhà thầu tham dự lễ mở thầu","Chủ đầu tư, tổ chuyên gia và các nhà thầu tham dự thầu",Chủ đầu tư và các nhà thầu tham dự lễ mở thầu,Các phương án trên đều đúng,,,,,,,C,P3
301,"Đối với đấu thầu qua mạng, nội dung nào sau đây là đúng?",Việc đánh giá HSDT được thực hiện trên bản chụp,Nhà thầu phải chịu trách nhiệm về tính thống nhất giữa bản gốc và bản chụp,Trường hợp có sự sai khác giữa bản gốc và bản chụp nhưng không làm thay đổi thứ tự xếp hạng nhà thầu thì căn cứ vào bản gốc để đánh giá,Các phương án trên đều sai,,,,,,,D,P3
302,"Đối với nhà thầu liên danh, việc ký kết văn bản hợp đồng được thực hiện như thế nào?","Các thành viên liên danh có thể ủy quyền cho thành viên đứng đầu liên danh ký, đóng dấu (nếu có)","Tất cả thành viên tham gia liên danh phải trực tiếp ký, đóng dấu (nếu có)","Các thành viên liên danh có thể ủy quyền cho bất kỳ thành viên nào trong liên danh ký, đóng dấu (nếu có)","Bất kỳ thành viên nào trong liên danh cũng có thể đại diện ký, đóng dấu (nếu có)",,,,,,,B,P3
303,Nhà thầu thực hiện gói thầu xây lắp theo hình thức lựa chọn nhà thầu nào thì không phải thực hiện bảo đảm thực hiện hợp đồng?,Đấu thầu rộng rãi,Tự thực hiện,Đấu thầu hạn chế,Chào hàng cạnh tranh,,,,,,,B,P3
304,Chào giá trực tuyến theo quy trình thông thường được thực hiện ở bước nào trong quá trình lựa chọn nhà thầu?,Bước chuẩn bị lựa chọn nhà thầu,Bước đánh giá về tài chính,Bước thương thảo hợp đồng,Bước đánh giá hồ sơ đề xuất kỹ thuật,,,,,,,B,P3
305,"Trong quá trình chào giá trực tuyến, thông tin nào của nhà thầu không được công khai trên Hệ thống mạng đấu thầu quốc gia?",Mức giá chào,Tên nhà thầu,Các yếu tố khác ngoài giá (nếu có),Thời gian còn lại của phiên chào giá,,,,,,,B,P3
306,Mua sắm trực tuyến có cần được phê duyệt trong kế hoạch lựa chọn nhà thầu không?,Không phải phê duyệt trong kế hoạch lựa chọn nhà thầu,Phải được phê duyệt trong kế hoạch lựa chọn nhà thầu,Chỉ phải phê duyệt trong kế hoạch lựa chọn nhà thầu khi giá gói thầu lớn hơn 500 triệu đồng,Chỉ phải phê duyệt trong kế hoạch lựa chọn nhà thầu đối với các gói thầu thuộc dự án đầu tư,,,,,,,B,P3
307,"Khi có yêu cầu đặt hàng trong mua sắm trực tuyến, Hệ thống mạng đấu thầu quốc gia sẽ tự động gửi thông báo cho ai?",Nhà thầu đã trúng thầu thông qua hình thức mua sắm tập trung hoặc không tập trung trên Hệ thống mạng đấu thầu quốc gia,Nhà thầu đã trúng thầu trong mua sắm tập trung trước đó,Chủ đầu tư,Đơn vị mua sắm tập trung,,,,,,,B,P3
308,"Sau khi nhận được yêu cầu đặt hàng qua hình thức mua sắm trực tuyến, nhà thầu có bao nhiêu thời gian để xác nhận hoặc từ chối đơn hàng?",24 giờ,03 ngày làm việc,05 ngày,05 ngày làm việc,,,,,,,B,P3
309,"Sau khi kết thúc chào giá trực tuyến, nếu có nhiều nhà thầu cùng chào giá thấp nhất bằng nhau, nhà thầu nào sẽ được xếp hạng thứ nhất?",Nhà thầu có năng lực tài chính tốt nhất,Nhà thầu chào giá đầu tiên thấp nhất,Nhà thầu nộp hồ sơ dự thầu sớm nhất,Yêu cầu các nhà thầu này chào lại giá,,,,,,,B,P3
310,Chủ đầu tư phải gửi thông báo mời tham gia chào giá trực tuyến theo quy trình thông thường đến các nhà thầu đáp ứng yêu cầu kỹ thuật trong thời hạn tối thiểu bao lâu trước thời điểm bắt đầu chào giá?,24 giờ,03 ngày làm việc,05 ngày,05 ngày làm việc,,,,,,,B,P3
311,"Đối với đấu thầu rộng rãi không qua mạng, nếu sau khi đóng thầu, nhà thầu tự phát hiện hồ sơ dự thầu thiếu tài liệu chứng minh năng lực, kinh nghiệm thì nhà thầu nên làm gì?","Trường hợp chủ đầu tư có yêu cầu bổ sung, làm rõ nhà thầu mới được bổ sung tài liệu chứng minh năng lực, kinh nghiệm","Được phép gửi tài liệu đến chủ đầu tư để làm rõ về năng lực, kinh nghiệm","Không được bổ sung tài liệu chứng minh năng lực, kinh nghiệm còn thiếu",Rút hồ sơ dự thầu để nộp lại,,,,,,,B,P3
312,"Trường hợp nào nhà thầu được quyền từ chối hoàn thiện hợp đồng mà không bị đánh giá về uy tín khi tham dự thầu, không bị tịch thu bảo đảm dự thầu?",Nhà thầu được quyền từ chối hoàn thiện hợp đồng trong mọi trường hợp,"Khi chủ đầu tư đưa ra các yêu cầu khi hoàn thiện hợp đồng không phù hợp với nội dung hồ sơ mời thầu, hồ sơ dự thầu",Khi nhà thầu đề nghị điều chỉnh đơn giá hạng mục mà nhà thầu đã chào theo yêu cầu của hồ sơ mời thầu nhưng chủ đầu tư không chấp nhận,Phương án B và C đều đúng,,,,,,,B,P3
313,"Đối với đấu thầu không qua mạng, trường hợp hồ sơ dự thầu của nhà thầu có sai lệch thiếu sau khi hiệu chỉnh sai lệch vẫn được xếp hạng thứ nhất và hồ sơ dự thầu của nhà thầu này không có đơn giá của phần sai lệch thiếu, đơn giá nào sẽ được ưu tiên áp dụng đầu tiên để đề nghị trúng thầu?",Đơn giá trong dự toán gói thầu,Đơn giá tương ứng có giá trị thấp nhất trong các hồ sơ dự thầu khác vượt qua bước đánh giá về kỹ thuật,Đơn giá hình thành giá gói thầu,Đơn giá tương ứng có giá trị cao nhất trong các hồ sơ dự thầu khác vượt qua bước đánh giá về kỹ thuật,,,,,,,B,P3
314,"Đối với gói thầu bảo hiểm, nhà thầu tham dự thầu có được xuất trình giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành không?",Được dùng giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành nếu nhà thầu là doanh nghiệp bảo hiểm uy tín,"Không được dùng giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành nếu giá trị bảo lãnh từ 50 triệu đồng trở lên, được dùng nếu giá trị bảo lãnh nhỏ hơn 50 triệu đồng",Chỉ được dùng giấy chứng nhận bảo hiểm bảo lãnh do chính mình phát hành nếu giá trị bảo lãnh nhỏ hơn 50 triệu đồng,Tất cả phương án đều sai,,,,,,,D,P3
315,"Trường hợp sau khi có quyết định phê duyệt kết quả lựa chọn nhà thầu, nhà thầu không trúng thầu có yêu cầu giải thích về lý do cụ thể không trúng thầu, chủ đầu tư phải trả lời trong thời hạn bao lâu?",02 ngày làm việc kể từ ngày được yêu cầu,03 ngày làm việc kể từ ngày được yêu cầu,05 ngày làm việc kể từ ngày được yêu cầu,07 ngày làm việc kể từ ngày được yêu cầu,,,,,,,A,P3
316,"Đối với gói thầu đấu thầu trước, nhà thầu có phải thực hiện biện pháp bảo đảm dự thầu không?",Không phải thực hiện nhưng phải có cam kết trong đơn dự thầu,Bắt buộc phải thực hiện,Tuỳ thuộc vào quyết định của chủ đầu tư,Chỉ phải thực hiện đối với gói thầu có giá trị bảo đảm dự thầu trên 50 triệu đồng,,,,,,,A,P3
317,"Trường hợp các nhà thầu chào hàng hóa có cùng ký mã hiệu (nếu có), hãng sản xuất, năm sản xuất, xuất xứ Việt Nam nhưng có nhà thầu kê khai, có nhà thầu không kê khai hàng hóa này thuộc đối tượng ưu đãi thì chủ đầu tư xử lý thế nào?",Không tính ưu đãi của tất cả các nhà thầu tham dự,Quyết định cho các nhà thầu không kê khai được làm rõ để có cơ sở đánh giá ưu đãi,Chỉ xét ưu đãi cho các nhà thầu đã kê khai,Tính ưu đãi cho tất cả nhà nhà thầu tham dự mà không cần làm rõ với nhà thầu không kê khai,,,,,,,B,P3
318,"Đối với đấu thầu qua mạng, sau khi đánh giá E-HSDT, tổ trưởng tổ chuyên gia đính kèm bản scan báo cáo đánh giá E-HSDT lên Hệ thống mạng đấu thầu quốc gia với yêu cầu nào sau đây?",Báo cáo đánh giá E-HSDT có chữ ký của tất cả thành viên trong tổ chuyên gia,Báo cáo đánh giá E-HSDT chỉ cần có chữ ký của tổ trưởng tổ chuyên gia,"Báo cáo đánh giá E-HSDT (đăng tải báo cáo đánh giá tổng hợp, không cần kèm theo các phiếu chấm của thành viên trong tổ chuyên gia)",Phương án B và C đều đúng,,,,,,,A,P3
319,"Hiện nay, Việt Nam đã mở cửa thị trường mua sắm chính phủ (đấu thầu) trong những hiệp định nào?",Chỉ Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP),Hiệp định CPTPP và Hiệp định thương mại tự do giữa Cộng hòa xã hội chủ nghĩa Việt Nam và Liên minh Châu Âu (EVFTA),"Hiệp định CPTPP, Hiệp định EVFTA và Hiệp định Thương mại Tự do giữa Việt Nam và Liên hiệp Vương quốc Anh và Bắc Ailen (UKVFTA)",Tất cả các hiệp định mà Việt Nam là thành viên,,,,,,,C,P3
320,Số lượng các nước thành viên Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP) ký kết hiệp định ban đầu là bao nhiêu nước?,8 nước,9 nước,11 nước,12 nước,,,,,,,C,P3
321,"Trong các hiệp định dưới đây, hiệp định nào không có quy định về các trường hợp chỉ định thầu?",Hiệp định Đối tác Toàn diện và Tiến bộ Xuyên Thái Bình Dương (CPTPP),Hiệp định thương mại tự do giữa Cộng hòa xã hội chủ nghĩa Việt Nam và Liên minh Châu Âu (EVFTA),Hiệp định EVFTA và Hiệp định Thương mại Tự do giữa Việt Nam và Liên hiệp Vương quốc Anh và Bắc Ailen (UKVFTA),Hiệp định Đối tác Kinh tế Toàn diện Khu vực (RCEP),,,,,,,D,P3
322,Hoạt động nào sau đây không thuộc phạm vi điều chỉnh của Nghị định số 95/2020/NĐ-CP?,Mua sắm thiết bị văn phòng,Thuê dịch vụ tư vấn,Thuê quyền sử dụng đất,Mua sắm vật tư y tế,,,,,,,C,P3
323,"Theo các hiệp định mà Việt Nam có mở cửa thị trường mua sắm chính phủ (đấu thầu), nhà thầu nước ngoài được tham gia đấu thầu tại Việt Nam trong trường hợp nào?",Tất cả các gói thầu,Chỉ gói thầu ODA,Gói thầu thuộc phạm vi điều chỉnh của hiệp định,"Gói thầu có giá trị lớn, phức tạp",,,,,,,C,P3
324,"Theo quy định tại Nghị định số 95/2020/NĐ-CP, đấu thầu nội khối là?",Đấu thầu mà chỉ có nhà thầu nội khối được tham dự,Đấu thầu cho các dự án trong khối CPTPP,"Đấu thầu giữa các nước thành viên EVFTA, UKVFTA",Đấu thầu trong nước,,,,,,,A,P3
